city_name_en,city_name_ar,region,population_2024,area_km2,population_density,altitude_m,latitude,longitude,founded_year,is_capital,coast_city,climate
Casablanca,الدار البيضاء,Casablanca-Settat,4000000,386,10363,50,33.5731,-7.5898,1907,No,Yes,Semi-arid
Rabat,الرباط,Rabat-Salé-Kénitra,1900000,118,16102,75,34.0209,-6.8416,1146,Yes,Yes,Mediterranean
Fes,فاس,Fès-Meknès,1200000,320,3750,410,34.0333,-5.0000,789,No,No,Semi-arid
Marrakesh,مراكش,Marrakesh-Safi,1070000,230,4652,466,31.6295,-7.9811,1062,No,No,Hot semi-arid
Tangier,طنجة,Tanger-Tetouan-Al Hoceima,1065000,193,5518,50,35.7595,-5.8340,533,No,Yes,Mediterranean
Agadir,أكادير,Souss-Massa,700000,164,4268,15,30.4278,-9.5981,1760,No,Yes,Hot semi-arid
Meknes,مكناس,Fès-Meknès,700000,140,5000,550,33.8935,-5.5473,702,No,No,Semi-arid
Oujda,وجدة,Oriental,600000,155,3871,471,34.6814,-1.9086,944,No,No,Semi-arid
Kenitra,القنيطرة,Rabat-Salé-Kénitra,500000,95,5263,5,34.2610,-6.5802,1913,No,Yes,Mediterranean
Tetouan,تطوان,Tanger-Tetouan-Al Hoceima,400000,80,5000,50,35.5785,-5.3684,1305,No,No,Mediterranean
Safi,آسفي,Marrakesh-Safi,350000,120,2917,25,32.2994,-9.2372,794,No,Yes,Semi-arid
El Jadida,الجديدة,Casablanca-Settat,320000,75,4267,15,33.2549,-8.5060,1515,No,Yes,Semi-arid
Beni Mellal,بني ملال,Béni Mellal-Khénifra,300000,100,3000,478,32.3373,-6.3498,1756,No,No,Semi-arid
Mohammedia,المحمدية,Casablanca-Settat,290000,53,5472,27,33.6861,-7.3834,1960,No,Yes,Semi-arid
Nador,الناظور,Oriental,250000,110,2273,15,35.1740,-2.9287,1969,No,Yes,Semi-arid
Khouribga,خريبكة,Béni Mellal-Khénifra,220000,85,2588,620,32.8811,-6.9063,1952,No,No,Semi-arid
Settat,سطات,Casablanca-Settat,200000,90,2222,359,33.0011,-7.6164,1913,No,No,Semi-arid
Khenifra,خنيفرة,Béni Mellal-Khénifra,180000,85,2118,877,32.9347,-5.6678,1963,No,No,Continental
Laayoune,العيون,Laâyoune-Sakia El Hamra,250000,200,1250,70,27.1418,-13.1875,1938,No,No,Hot desert
Dakhla,الداخلة,Dakhla-Oued Ed-Dahab,120000,150,800,7,23.6847,-15.9572,1844,No,Yes,Hot desert
Errachidia,الراشيدية,Drâa-Tafilalet,120000,200,600,1051,31.9314,-4.4261,1971,No,No,Hot semi-arid
Ouarzazate,ورزازات,Drâa-Tafilalet,100000,180,556,1136,30.9335,-6.9370,1928,No,No,Hot semi-arid
Ifrane,إفران,Fès-Meknès,30000,330,91,1665,33.5228,-5.1067,1929,No,No,Humid continental
Chefchaouen,شفشاون,Tanger-Tetouan-Al Hoceima,50000,60,833,600,35.1688,-5.2636,1471,No,No,Mediterranean
Essaouira,الصويرة,Marrakesh-Safi,80000,70,1143,7,31.5085,-9.7595,1760,No,Yes,Mediterranean
Al Hoceima,الحسيمة,Tanger-Tetouan-Al Hoceima,100000,50,2000,10,35.2517,-3.9372,1926,No,Yes,Mediterranean
Tiznit,تيزنيت,Souss-Massa,90000,75,1200,276,29.7000,-9.7333,1882,No,No,Hot semi-arid
Taroudant,تارودانت,Souss-Massa,90000,90,1000,271,30.4702,-8.8778,1056,No,No,Hot semi-arid
Guelmim,كلميم,Guelmim-Oued Noun,120000,130,923,310,28.9870,-10.0574,1830,No,No,Hot desert
Zagora,زاكورة,Drâa-Tafilalet,40000,100,400,660,30.3322,-5.8378,1963,No,No,Hot desert
Tinghir,تنغير,Drâa-Tafilalet,50000,150,333,1342,31.5148,-5.5328,1957,No,No,Hot semi-arid
Midelt,ميدلت,Drâa-Tafilalet,55000,120,458,1508,32.6811,-4.7344,1917,No,No,Continental
Azrou,أزرو,Fès-Meknès,55000,100,550,1250,33.4369,-5.2222,1924,No,No,Humid continental
Taza,تازة,Fès-Meknès,150000,180,833,550,34.2133,-4.0083,1074,No,No,Semi-arid
Larache,العرائش,Tanger-Tetouan-Al Hoceima,130000,60,2167,5,35.1932,-6.1565,1610,No,Yes,Mediterranean
Berkane,بركان,Oriental,120000,80,1500,250,34.9200,-2.3200,1953,No,No,Semi-arid
Taourirt,تاوريرت,Oriental,100000,90,1111,480,34.4088,-2.8944,1910,No,No,Semi-arid
Khemisset,الخميسات,Rabat-Salé-Kénitra,130000,85,1529,405,33.8244,-6.0656,1926,No,No,Semi-arid
Sidi Kacem,سيدي قاسم,Rabat-Salé-Kénitra,100000,70,1429,275,34.2261,-5.7128,1926,No,No,Semi-arid
Youssoufia,يوسفية,Marrakesh-Safi,80000,65,1231,365,32.2458,-8.5278,1954,No,No,Semi-arid
